order_id,customer_id,order_date,order_value,category,payment_method,delivery_confirmed,new_device,is_returned,return_date,return_reason,days_to_return,is_chargeback,chargeback_reason
ORD00025,CUST0006,2026-06-16,43872.17,Electronics,Card,1,0,0,,,,1,Duplicate charge
ORD00026,CUST0006,2026-06-12,5957.41,Fashion,Wallet,1,0,0,,,,0,
ORD00027,CUST0006,2026-07-08,1807.72,Grocery,Wallet,1,0,0,,,,0,
ORD00028,CUST0007,2026-06-25,1344.37,Grocery,UPI,1,0,0,,,,0,
ORD00029,CUST0007,2026-08-04,6636.18,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00030,CUST0007,2026-06-20,1708.03,Beauty,Wallet,1,0,0,,,,0,
ORD00031,CUST0007,2026-08-29,3644.89,Fashion,Wallet,1,1,0,,,,0,
ORD00032,CUST0008,2026-07-19,2967.56,Beauty,Card,1,0,1,2026-07-30,Wrong item sent,11,0,
ORD00033,CUST0008,2026-07-13,39716.0,Electronics,Wallet,1,1,1,2026-07-26,Not as described,13,0,
ORD00034,CUST0008,2026-06-10,2388.27,Beauty,Wallet,1,0,0,,,,0,
ORD00035,CUST0008,2026-08-08,2871.59,Beauty,Wallet,1,0,1,2026-08-12,Not as described,4,0,
ORD00036,CUST0008,2026-08-20,7980.44,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00037,CUST0008,2026-06-13,665.82,Beauty,UPI,1,1,0,,,,0,
ORD00038,CUST0008,2026-07-18,607.6,Beauty,Card,1,0,1,2026-07-27,Wrong item sent,9,0,
ORD00039,CUST0008,2026-08-27,3237.17,Fashion,Card,1,0,1,2026-09-03,Better price found,7,0,
ORD00040,CUST0009,2026-07-30,8930.86,Home & Kitchen,NetBanking,1,0,1,2026-08-21,Damaged item,22,0,
ORD00041,CUST0009,2026-07-09,5996.55,Fashion,Wallet,0,0,1,2026-08-07,Changed mind,29,0,
ORD00042,CUST0009,2026-06-03,968.55,Beauty,UPI,1,0,0,,,,0,
ORD00043,CUST0010,2026-06-30,2034.54,Grocery,Card,1,0,0,,,,0,
ORD00044,CUST0010,2026-08-24,3955.36,Fashion,UPI,1,0,0,,,,0,
ORD00045,CUST0010,2026-06-17,41204.37,Electronics,Wallet,1,0,1,2026-06-28,Changed mind,11,0,
ORD00046,CUST0010,2026-08-07,2296.69,Grocery,NetBanking,1,0,0,,,,0,
ORD00047,CUST0011,2026-07-14,22669.92,Electronics,Card,0,0,0,,,,0,
ORD00048,CUST0011,2026-08-11,1086.3,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00049,CUST0011,2026-08-26,4842.66,Home & Kitchen,NetBanking,1,0,1,2026-08-29,Wrong item sent,3,0,
ORD00050,CUST0011,2026-08-11,7355.94,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00051,CUST0012,2026-07-23,8870.63,Electronics,NetBanking,1,0,1,2026-07-29,Wrong item sent,6,0,
ORD00052,CUST0012,2026-06-18,1470.2,Beauty,Wallet,1,0,0,,,,0,
ORD00053,CUST0012,2026-08-23,38015.11,Electronics,NetBanking,1,1,0,,,,0,
ORD00054,CUST0012,2026-07-01,1155.1,Home & Kitchen,NetBanking,1,1,1,2026-07-05,Damaged item,4,0,
ORD00055,CUST0012,2026-06-12,4029.37,Fashion,UPI,1,1,0,,,,0,
ORD00056,CUST0012,2026-08-12,877.36,Fashion,Card,1,0,0,,,,0,
ORD00057,CUST0012,2026-06-19,156.66,Grocery,Card,1,0,0,,,,0,
ORD00058,CUST0013,2026-08-24,8535.74,Electronics,Card,1,0,1,2026-08-30,Size issue,6,0,
ORD00059,CUST0014,2026-07-24,417.08,Grocery,Wallet,0,0,0,,,,1,Unauthorized transaction
ORD00060,CUST0014,2026-08-18,33544.21,Electronics,NetBanking,1,0,0,,,,1,Duplicate charge
ORD00061,CUST0015,2026-07-25,23591.29,Electronics,UPI,1,0,0,,,,0,
ORD00062,CUST0015,2026-06-17,5144.81,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00063,CUST0015,2026-08-04,1160.97,Grocery,UPI,1,0,0,,,,0,
ORD00064,CUST0015,2026-06-28,1464.35,Beauty,NetBanking,1,0,0,,,,0,
ORD00065,CUST0016,2026-07-25,5454.82,Home & Kitchen,Card,1,0,0,,,,0,
ORD00066,CUST0016,2026-06-11,21138.81,Electronics,NetBanking,1,0,0,,,,0,
ORD00067,CUST0016,2026-08-11,924.67,Grocery,NetBanking,1,0,0,,,,0,
ORD00068,CUST0017,2026-06-07,4963.12,Home & Kitchen,Card,1,0,0,,,,0,
ORD00069,CUST0017,2026-07-15,1013.77,Grocery,Card,1,0,0,,,,0,
ORD00070,CUST0017,2026-08-19,1736.2,Grocery,NetBanking,1,1,0,,,,0,
ORD00071,CUST0017,2026-07-14,446.4,Home & Kitchen,Wallet,1,1,0,,,,0,
ORD00072,CUST0017,2026-06-12,655.56,Grocery,NetBanking,1,0,0,,,,0,
ORD00073,CUST0017,2026-08-12,349.65,Grocery,Card,0,0,1,2026-08-15,Changed mind,3,0,
ORD00074,CUST0018,2026-08-24,1559.85,Beauty,NetBanking,1,0,0,,,,0,
ORD00075,CUST0018,2026-06-15,5554.46,Home & Kitchen,NetBanking,1,1,0,,,,0,
ORD00076,CUST0018,2026-06-01,2157.81,Fashion,Card,1,0,0,,,,0,
ORD00077,CUST0018,2026-08-03,691.95,Beauty,Card,1,0,0,,,,0,
ORD00078,CUST0019,2026-07-21,21321.22,Electronics,UPI,1,0,0,,,,0,
ORD00079,CUST0020,2026-08-21,1010.64,Beauty,NetBanking,1,0,0,,,,0,
ORD00080,CUST0020,2026-08-28,1069.79,Home & Kitchen,Card,1,0,0,,,,0,
ORD00081,CUST0020,2026-07-10,2083.95,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00082,CUST0020,2026-07-15,5928.08,Home & Kitchen,Card,1,0,0,,,,0,
ORD00083,CUST0020,2026-08-17,4681.18,Fashion,Card,1,0,0,,,,0,
ORD00084,CUST0020,2026-08-12,1204.93,Grocery,NetBanking,1,0,0,,,,0,
ORD00085,CUST0021,2026-07-31,1967.88,Beauty,UPI,1,0,1,2026-08-09,Damaged item,9,0,
ORD00086,CUST0022,2026-06-08,6720.89,Home & Kitchen,UPI,0,0,0,,,,0,
ORD00087,CUST0022,2026-08-10,21888.82,Electronics,Card,1,0,0,,,,0,
ORD00088,CUST0023,2026-07-28,37060.61,Electronics,UPI,1,0,0,,,,0,
ORD00089,CUST0024,2026-07-27,1378.46,Grocery,NetBanking,1,0,0,,,,0,
ORD00090,CUST0024,2026-08-26,273.06,Grocery,NetBanking,1,1,1,2026-09-08,Damaged item,13,0,
ORD00091,CUST0024,2026-07-07,5900.38,Home & Kitchen,Card,1,0,0,,,,0,
ORD00092,CUST0024,2026-07-15,7754.49,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00093,CUST0024,2026-08-11,2001.78,Beauty,Card,1,0,0,,,,0,
ORD00094,CUST0025,2026-08-07,30133.04,Electronics,NetBanking,1,1,0,,,,0,
ORD00095,CUST0025,2026-07-14,737.61,Beauty,Card,1,1,0,,,,0,
ORD00096,CUST0025,2026-08-09,238.71,Grocery,Card,1,0,0,,,,0,
ORD00097,CUST0025,2026-08-28,2051.25,Grocery,Wallet,1,1,0,,,,0,
ORD00098,CUST0025,2026-07-27,819.58,Grocery,Wallet,1,0,0,,,,0,
ORD00099,CUST0025,2026-07-31,2523.13,Fashion,Wallet,1,0,0,,,,0,
ORD00100,CUST0026,2026-07-24,4992.9,Fashion,Card,1,0,1,2026-08-02,Changed mind,9,0,
ORD00101,CUST0026,2026-08-10,32878.84,Electronics,UPI,1,0,0,,,,0,
ORD00102,CUST0026,2026-08-05,5070.76,Fashion,Card,1,0,0,,,,0,
ORD00103,CUST0026,2026-07-24,19651.07,Electronics,Wallet,1,0,0,,,,1,Item not received
ORD00104,CUST0026,2026-08-23,6414.49,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00105,CUST0027,2026-08-30,1456.08,Beauty,UPI,0,1,1,2026-09-04,Wrong item sent,5,0,
ORD00106,CUST0027,2026-08-17,1144.65,Grocery,Card,1,0,1,2026-08-26,Better price found,9,0,
ORD00107,CUST0027,2026-08-19,375.86,Beauty,Wallet,1,0,1,2026-08-30,Wrong item sent,11,0,
ORD00108,CUST0027,2026-07-01,2102.0,Fashion,NetBanking,0,0,0,,,,0,
ORD00109,CUST0027,2026-06-11,2440.44,Grocery,UPI,0,0,0,,,,0,
ORD00110,CUST0027,2026-07-18,6079.61,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00111,CUST0027,2026-08-14,1413.91,Home & Kitchen,NetBanking,1,0,1,2026-08-29,Better price found,15,0,
ORD00112,CUST0027,2026-07-30,1968.86,Beauty,UPI,1,0,0,,,,1,Unauthorized transaction
ORD00113,CUST0028,2026-06-26,16255.02,Electronics,Wallet,1,0,0,,,,0,
ORD00114,CUST0029,2026-06-25,3113.0,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00115,CUST0029,2026-07-22,2704.98,Beauty,Card,1,0,0,,,,0,
ORD00116,CUST0029,2026-08-06,6488.73,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00117,CUST0029,2026-07-08,1179.74,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00118,CUST0029,2026-08-28,1184.33,Beauty,NetBanking,0,0,0,,,,0,
ORD00119,CUST0029,2026-06-08,31189.72,Electronics,Card,1,0,0,,,,0,
ORD00120,CUST0030,2026-07-27,8301.66,Electronics,NetBanking,1,0,0,,,,1,Unauthorized transaction
ORD00121,CUST0030,2026-08-26,2856.71,Beauty,UPI,1,0,0,,,,0,
ORD00122,CUST0030,2026-08-23,2297.05,Home & Kitchen,Card,1,0,0,,,,0,
ORD00123,CUST0030,2026-07-04,5750.69,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00124,CUST0030,2026-06-18,21985.79,Electronics,Wallet,1,0,0,,,,0,
ORD00125,CUST0030,2026-07-11,5792.51,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00126,CUST0030,2026-08-29,4865.33,Fashion,UPI,1,0,0,,,,0,
ORD00127,CUST0030,2026-08-03,18157.65,Electronics,Wallet,1,0,0,,,,0,
ORD00128,CUST0031,2026-06-09,3426.02,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00129,CUST0032,2026-06-17,5281.77,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00130,CUST0032,2026-08-15,4722.8,Fashion,UPI,1,0,0,,,,0,
ORD00131,CUST0033,2026-07-12,2403.13,Fashion,NetBanking,1,0,0,,,,0,
ORD00132,CUST0033,2026-08-10,1351.29,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00133,CUST0034,2026-06-22,1843.49,Grocery,UPI,1,0,1,2026-07-10,Better price found,18,0,
ORD00134,CUST0034,2026-08-13,5348.59,Home & Kitchen,UPI,1,0,1,2026-09-04,Better price found,22,0,
ORD00135,CUST0034,2026-07-09,885.66,Beauty,Wallet,1,1,1,2026-08-03,Damaged item,25,0,
ORD00136,CUST0034,2026-08-01,771.26,Beauty,NetBanking,1,0,0,,,,0,
ORD00137,CUST0034,2026-06-17,6337.98,Home & Kitchen,Wallet,0,1,1,2026-07-09,Damaged item,22,0,
ORD00138,CUST0035,2026-08-18,895.16,Beauty,Card,1,0,0,,,,0,
ORD00139,CUST0035,2026-06-25,3240.46,Fashion,Wallet,1,0,0,,,,0,
ORD00140,CUST0035,2026-07-21,1224.49,Grocery,NetBanking,1,1,0,,,,0,
ORD00141,CUST0035,2026-08-23,1000.1,Beauty,UPI,0,0,0,,,,0,
ORD00142,CUST0035,2026-07-22,743.84,Home & Kitchen,Card,0,0,0,,,,0,
ORD00143,CUST0035,2026-07-28,807.34,Grocery,UPI,1,0,1,2026-08-05,Changed mind,8,0,
ORD00144,CUST0035,2026-08-11,6137.74,Home & Kitchen,Wallet,1,0,1,2026-08-16,Better price found,5,0,
ORD00145,CUST0035,2026-07-13,1654.13,Beauty,Card,1,0,0,,,,0,
ORD00146,CUST0036,2026-07-09,940.48,Grocery,Wallet,1,0,0,,,,0,
ORD00147,CUST0036,2026-07-18,5520.93,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00148,CUST0036,2026-06-04,1265.29,Grocery,Card,1,0,0,,,,0,
ORD00149,CUST0036,2026-08-20,1970.32,Grocery,Card,1,1,0,,,,0,
ORD00150,CUST0036,2026-06-03,1078.34,Beauty,Card,1,0,0,,,,0,
ORD00151,CUST0037,2026-06-08,3352.76,Fashion,Wallet,1,0,0,,,,0,
ORD00152,CUST0037,2026-08-08,4551.68,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00153,CUST0037,2026-08-11,2108.99,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00154,CUST0037,2026-08-02,4046.51,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00155,CUST0037,2026-07-21,7655.03,Home & Kitchen,NetBanking,1,1,0,,,,0,
ORD00156,CUST0037,2026-07-27,6079.77,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00157,CUST0038,2026-08-15,1833.52,Fashion,Card,1,0,1,2026-08-24,Changed mind,9,0,
ORD00158,CUST0038,2026-07-31,31610.06,Electronics,Card,1,0,0,,,,0,
ORD00159,CUST0038,2026-08-01,4657.51,Fashion,NetBanking,1,0,0,,,,0,
ORD00160,CUST0038,2026-08-13,3443.34,Fashion,UPI,1,0,1,2026-08-18,Size issue,5,0,
ORD00161,CUST0038,2026-07-21,721.67,Beauty,NetBanking,1,0,1,2026-08-02,Wrong item sent,12,0,
ORD00162,CUST0038,2026-06-14,2562.67,Home & Kitchen,Wallet,1,0,1,2026-06-25,Damaged item,11,0,
ORD00163,CUST0039,2026-06-25,16888.73,Electronics,NetBanking,1,0,1,2026-07-03,Changed mind,8,0,
ORD00164,CUST0039,2026-08-12,1465.22,Fashion,Wallet,1,0,0,,,,0,
ORD00165,CUST0039,2026-08-25,10760.81,Electronics,NetBanking,1,0,1,2026-09-03,Not as described,9,0,
ORD00166,CUST0039,2026-07-28,7650.66,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00167,CUST0040,2026-06-16,1059.06,Beauty,NetBanking,1,0,0,,,,0,
ORD00168,CUST0040,2026-07-18,669.0,Grocery,Wallet,1,0,0,,,,0,
ORD00169,CUST0040,2026-07-24,2295.07,Grocery,Card,1,0,0,,,,0,
ORD00170,CUST0040,2026-06-11,1199.86,Grocery,UPI,1,0,0,,,,0,
ORD00171,CUST0040,2026-08-04,3649.86,Fashion,NetBanking,1,0,0,,,,0,
ORD00172,CUST0040,2026-08-14,454.64,Beauty,UPI,1,0,0,,,,0,
ORD00173,CUST0041,2026-08-11,2083.75,Beauty,UPI,1,0,0,,,,0,
ORD00174,CUST0042,2026-06-10,20795.29,Electronics,UPI,1,0,1,2026-06-19,Size issue,9,0,
ORD00175,CUST0042,2026-07-07,703.95,Beauty,Wallet,1,0,0,,,,0,
ORD00176,CUST0042,2026-07-19,424.7,Beauty,Card,1,0,0,,,,0,
ORD00177,CUST0042,2026-08-08,1680.76,Beauty,Card,1,0,0,,,,0,
ORD00178,CUST0042,2026-07-30,1146.7,Grocery,Card,1,0,0,,,,0,
ORD00179,CUST0043,2026-06-15,36998.08,Electronics,UPI,1,0,1,2026-06-27,Size issue,12,0,
ORD00180,CUST0043,2026-07-28,1729.26,Grocery,Card,1,0,0,,,,0,
ORD00181,CUST0043,2026-06-28,8885.69,Electronics,Card,1,0,0,,,,0,
ORD00182,CUST0043,2026-08-16,2200.47,Home & Kitchen,Card,1,0,1,2026-08-27,Wrong item sent,11,0,
ORD00183,CUST0043,2026-06-23,1756.38,Beauty,NetBanking,0,0,0,,,,0,
ORD00184,CUST0043,2026-07-11,1343.13,Beauty,Card,1,0,0,,,,0,
ORD00185,CUST0043,2026-07-09,4931.77,Fashion,Wallet,1,0,0,,,,0,
ORD00186,CUST0044,2026-07-03,2316.45,Fashion,Wallet,0,0,1,2026-07-08,Size issue,5,0,
ORD00187,CUST0044,2026-07-05,2086.28,Beauty,UPI,1,0,0,,,,0,
ORD00188,CUST0045,2026-06-28,784.89,Beauty,NetBanking,1,0,1,2026-07-03,Better price found,5,0,
ORD00189,CUST0045,2026-06-16,2760.44,Beauty,Card,1,0,0,,,,0,
ORD00190,CUST0045,2026-07-07,1505.5,Beauty,NetBanking,1,0,0,,,,0,
ORD00191,CUST0045,2026-06-13,2332.56,Beauty,Card,1,0,0,,,,0,
ORD00192,CUST0045,2026-06-29,589.21,Fashion,Wallet,1,0,0,,,,0,
ORD00193,CUST0046,2026-07-02,1741.8,Beauty,NetBanking,1,0,0,,,,0,
ORD00194,CUST0046,2026-08-22,1490.32,Beauty,NetBanking,1,0,0,,,,0,
ORD00195,CUST0046,2026-08-09,25005.67,Electronics,UPI,1,0,0,,,,0,
ORD00196,CUST0046,2026-07-23,5134.0,Fashion,Card,1,1,0,,,,0,
ORD00197,CUST0046,2026-08-19,2294.97,Grocery,UPI,1,1,0,,,,1,Not as described
ORD00198,CUST0046,2026-08-08,530.28,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00199,CUST0047,2026-08-07,1825.33,Fashion,NetBanking,1,0,1,2026-08-16,Size issue,9,0,
ORD00200,CUST0047,2026-07-18,1485.19,Beauty,Card,1,0,0,,,,0,
ORD00201,CUST0048,2026-06-05,20021.69,Electronics,Wallet,1,1,1,2026-06-09,Size issue,4,0,
ORD00202,CUST0048,2026-08-03,2005.74,Beauty,UPI,1,0,0,,,,0,
ORD00203,CUST0048,2026-08-28,1267.43,Grocery,UPI,0,0,0,,,,0,
ORD00204,CUST0048,2026-08-24,10532.89,Electronics,UPI,1,0,0,,,,0,
ORD00205,CUST0048,2026-07-21,15569.63,Electronics,Wallet,1,0,0,,,,0,
ORD00206,CUST0048,2026-06-18,24033.3,Electronics,UPI,1,1,0,,,,1,Duplicate charge
ORD00207,CUST0049,2026-07-12,29633.16,Electronics,Wallet,1,0,0,,,,0,
ORD00208,CUST0049,2026-07-26,4238.32,Fashion,UPI,1,0,0,,,,0,
ORD00209,CUST0049,2026-06-10,14254.83,Electronics,Card,1,0,0,,,,0,
ORD00210,CUST0049,2026-06-01,3779.99,Home & Kitchen,UPI,1,0,1,2026-06-11,Wrong item sent,10,0,
ORD00211,CUST0049,2026-08-11,1108.9,Grocery,NetBanking,0,0,0,,,,0,
ORD00212,CUST0049,2026-07-20,15257.59,Electronics,UPI,1,0,0,,,,0,
ORD00213,CUST0049,2026-07-02,1374.6,Grocery,Card,1,0,0,,,,0,
ORD00214,CUST0049,2026-06-09,2890.72,Fashion,Wallet,1,0,0,,,,0,
ORD00215,CUST0050,2026-08-20,1862.66,Beauty,UPI,1,0,1,2026-08-29,Changed mind,9,0,
ORD00216,CUST0050,2026-08-19,2451.41,Beauty,NetBanking,1,0,0,,,,0,
ORD00217,CUST0050,2026-08-16,2152.39,Fashion,Card,1,0,1,2026-08-25,Changed mind,9,0,
ORD00218,CUST0050,2026-07-08,2909.74,Beauty,NetBanking,1,0,0,,,,0,
ORD00219,CUST0050,2026-06-15,619.53,Grocery,Card,1,0,0,,,,0,
ORD00220,CUST0050,2026-07-30,2911.5,Fashion,UPI,1,0,0,,,,0,
ORD00221,CUST0050,2026-08-03,3983.35,Fashion,Card,1,0,0,,,,0,
ORD00222,CUST0051,2026-08-01,1091.89,Grocery,Wallet,1,0,0,,,,0,
ORD00223,CUST0051,2026-08-08,1649.72,Grocery,Card,1,0,0,,,,0,
ORD00224,CUST0051,2026-06-06,2461.48,Grocery,Wallet,1,0,0,,,,0,
ORD00225,CUST0051,2026-06-14,7141.48,Electronics,Card,1,0,0,,,,0,
ORD00226,CUST0051,2026-08-15,504.25,Grocery,Wallet,1,0,0,,,,0,
ORD00227,CUST0052,2026-06-19,2770.37,Home & Kitchen,Card,1,0,0,,,,0,
ORD00228,CUST0053,2026-08-29,1092.95,Beauty,UPI,1,1,0,,,,0,
ORD00229,CUST0053,2026-06-22,3337.97,Fashion,NetBanking,1,0,0,,,,0,
ORD00230,CUST0053,2026-07-22,1525.13,Fashion,Wallet,1,1,0,,,,0,
ORD00231,CUST0053,2026-08-15,1288.74,Beauty,Card,1,0,0,,,,0,
ORD00232,CUST0053,2026-08-13,36579.1,Electronics,NetBanking,1,0,0,,,,0,
ORD00233,CUST0053,2026-08-02,2419.9,Grocery,Wallet,1,0,0,,,,0,
ORD00234,CUST0054,2026-07-29,555.44,Grocery,NetBanking,1,0,0,,,,0,
ORD00235,CUST0054,2026-07-11,13020.05,Electronics,NetBanking,1,0,0,,,,0,
ORD00236,CUST0054,2026-06-18,1051.72,Grocery,Card,1,0,0,,,,0,
ORD00237,CUST0054,2026-07-11,1934.35,Beauty,UPI,1,0,1,2026-07-20,Wrong item sent,9,0,
ORD00238,CUST0054,2026-08-04,1345.58,Beauty,Wallet,1,0,1,2026-08-07,Not as described,3,0,
ORD00239,CUST0054,2026-07-08,14543.82,Electronics,Card,1,0,0,,,,0,
ORD00240,CUST0054,2026-08-03,1350.39,Grocery,NetBanking,1,0,0,,,,0,
ORD00241,CUST0054,2026-06-06,1729.79,Beauty,UPI,1,0,0,,,,0,
ORD00242,CUST0055,2026-07-28,3049.19,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00243,CUST0056,2026-08-15,6943.97,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00244,CUST0056,2026-06-27,26943.12,Electronics,Card,1,0,0,,,,0,
ORD00245,CUST0057,2026-08-05,8694.73,Electronics,Wallet,1,0,0,,,,0,
ORD00246,CUST0057,2026-06-17,1873.22,Fashion,Card,1,0,0,,,,0,
ORD00247,CUST0057,2026-08-13,5171.38,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00248,CUST0058,2026-07-06,3855.69,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00249,CUST0058,2026-07-29,6860.81,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00250,CUST0058,2026-07-05,6695.41,Home & Kitchen,Card,1,0,0,,,,0,
ORD00251,CUST0058,2026-08-27,4929.6,Electronics,Wallet,1,1,0,,,,0,
ORD00252,CUST0058,2026-07-29,44657.21,Electronics,Card,1,0,0,,,,0,
ORD00253,CUST0059,2026-06-12,2302.96,Home & Kitchen,Card,1,1,0,,,,0,
ORD00254,CUST0059,2026-06-30,2035.36,Beauty,UPI,1,0,1,2026-07-05,Wrong item sent,5,0,
ORD00255,CUST0059,2026-08-27,226.0,Beauty,UPI,1,0,0,,,,0,
ORD00256,CUST0060,2026-06-30,450.13,Beauty,UPI,1,0,0,,,,0,
ORD00257,CUST0061,2026-08-22,876.26,Fashion,Card,1,0,0,,,,0,
ORD00258,CUST0061,2026-06-20,2795.25,Beauty,Card,1,0,1,2026-07-14,Changed mind,24,0,
ORD00259,CUST0061,2026-07-25,11229.23,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00260,CUST0061,2026-08-24,1961.39,Home & Kitchen,Wallet,0,1,1,2026-09-14,Damaged item,21,0,
ORD00261,CUST0061,2026-07-20,13125.43,Electronics,UPI,0,0,0,,,,1,Duplicate charge
ORD00262,CUST0062,2026-08-09,4694.99,Fashion,UPI,1,1,1,2026-08-15,Not as described,6,0,
ORD00263,CUST0062,2026-06-06,42844.56,Electronics,NetBanking,1,0,0,,,,0,
ORD00264,CUST0062,2026-08-29,430.8,Beauty,Card,1,0,0,,,,0,
ORD00265,CUST0063,2026-06-20,917.86,Grocery,UPI,1,0,0,,,,0,
ORD00266,CUST0063,2026-07-01,13268.15,Electronics,UPI,1,0,0,,,,0,
ORD00267,CUST0064,2026-08-24,1156.94,Fashion,UPI,1,0,0,,,,0,
ORD00268,CUST0064,2026-07-04,2545.28,Fashion,NetBanking,1,0,0,,,,0,
ORD00269,CUST0064,2026-07-13,961.55,Beauty,UPI,0,0,0,,,,1,Unauthorized transaction
ORD00270,CUST0064,2026-07-18,1903.14,Fashion,UPI,1,0,0,,,,0,
ORD00271,CUST0064,2026-06-02,752.9,Fashion,Card,1,0,0,,,,0,
ORD00272,CUST0064,2026-08-23,828.64,Beauty,NetBanking,1,0,1,2026-08-30,Size issue,7,0,
ORD00273,CUST0065,2026-08-26,10532.46,Electronics,UPI,1,0,1,2026-09-04,Changed mind,9,0,
ORD00274,CUST0065,2026-07-10,1056.53,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00275,CUST0065,2026-08-19,3051.6,Fashion,Wallet,1,0,0,,,,0,
ORD00276,CUST0065,2026-08-09,1328.12,Fashion,UPI,1,0,0,,,,0,
ORD00277,CUST0065,2026-06-02,411.11,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00278,CUST0066,2026-06-08,4414.09,Fashion,Card,1,0,0,,,,0,
ORD00279,CUST0066,2026-07-18,2928.75,Beauty,UPI,1,0,0,,,,0,
ORD00280,CUST0066,2026-08-15,296.36,Grocery,Card,1,0,0,,,,0,
ORD00281,CUST0066,2026-07-21,2817.24,Home & Kitchen,UPI,1,0,0,,,,0,
ORD00282,CUST0067,2026-06-20,15693.07,Electronics,Card,1,0,1,2026-07-09,Size issue,19,0,
ORD00283,CUST0067,2026-06-21,6680.54,Home & Kitchen,NetBanking,0,1,0,,,,0,
ORD00284,CUST0067,2026-07-21,496.68,Grocery,Wallet,0,0,1,2026-08-16,Not as described,26,0,
